date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:19:38	24566/24566	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2013:46:31%20GMT	https://thunder-team.com/friend-finder/timeline.html	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/timeline.html	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:38	17568/17568	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2013:46:30%20GMT	https://thunder-team.com/friend-finder/timeline-about.html	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/timeline-about.html	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:38	19269/19269	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2013:46:30%20GMT	https://thunder-team.com/friend-finder/timeline-album.html	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/timeline-album.html	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:39	20806/20806	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2013:46:31%20GMT	https://thunder-team.com/friend-finder/timeline-friends.html	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/timeline-friends.html	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:39	39442/39442	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2013:46:19%20GMT	https://thunder-team.com/friend-finder/edit-profile-basic.html	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/edit-profile-basic.html	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:39	20817/20817	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2013:46:22%20GMT	https://thunder-team.com/friend-finder/edit-profile-work-edu.html	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/edit-profile-work-edu.html	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:39	16553/16553	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2013:46:20%20GMT	https://thunder-team.com/friend-finder/edit-profile-interests.html	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/edit-profile-interests.html	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:40	19760/19760	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2013:46:21%20GMT	https://thunder-team.com/friend-finder/edit-profile-settings.html	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/edit-profile-settings.html	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:40	16719/16719	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2013:46:20%20GMT	https://thunder-team.com/friend-finder/edit-profile-password.html	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/edit-profile-password.html	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:40	12984/12984	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2013:46:18%20GMT	https://thunder-team.com/friend-finder/contact.html	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/contact.html	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:40	33027/33027	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2013:46:23%20GMT	https://thunder-team.com/friend-finder/faq.html	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/faq.html	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:40	10865/10865	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2013:46:18%20GMT	https://thunder-team.com/friend-finder/404.html	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/404.html	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:41	999/999	---M--	200	added ('OK')	image/png	etag:%225a8c26ed-3e7%22	https://thunder-team.com/friend-finder/images/envato_logo.png	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/images/envato_logo.png	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:41	86709/86709	---M--	200	added ('OK')	application/x-javascript	etag:%225a8c2750-152b5%22	https://thunder-team.com/friend-finder/js/jquery-3.1.1.min.js	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/js/jquery-3.1.1.min.js	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:42	37045/37045	---M--	200	added ('OK')	application/x-javascript	etag:%225a8c274d-90b5%22	https://thunder-team.com/friend-finder/js/bootstrap.min.js	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/js/bootstrap.min.js	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:42	865/865	---M--	200	added ('OK')	application/x-javascript	etag:%225a8c2750-361%22	https://thunder-team.com/friend-finder/js/jquery.appear.min.js	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/js/jquery.appear.min.js	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:42	3266/3266	---M--	200	added ('OK')	application/x-javascript	etag:%225a8c2751-cc2%22	https://thunder-team.com/friend-finder/js/jquery.incremental-counter.js	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/js/jquery.incremental-counter.js	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:42	4532/4532	---M--	200	added ('OK')	application/x-javascript	etag:%225a8c2754-11b4%22	https://thunder-team.com/friend-finder/js/script.js	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/js/script.js	(from https://thunder-team.com/friend-finder/index-register.html)
08:19:42	20127/20127	---M--	200	added ('OK')	application/octet-stream	etag:%225a8c26dc-4e9f%22	https://thunder-team.com/friend-finder/fonts/glyphicons-halflings-regular.eot	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/fonts/glyphicons-halflings-regular.eot	(from https://thunder-team.com/friend-finder/css/bootstrap.min.css)
08:19:43	20127/20127	---M--	200	added ('OK')	application/octet-stream	etag:%225a8c26dc-4e9f%22	https://thunder-team.com/friend-finder/fonts/glyphicons-halflings-regular.eot?	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/fonts/glyphicons-halflings-regulard41d.eot	(from https://thunder-team.com/friend-finder/css/bootstrap.min.css)
08:19:43	18028/18028	---M--	200	added ('OK')	application/octet-stream	etag:%225a8c26df-466c%22	https://thunder-team.com/friend-finder/fonts/glyphicons-halflings-regular.woff2	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/fonts/glyphicons-halflings-regular.woff2	(from https://thunder-team.com/friend-finder/css/bootstrap.min.css)
08:19:44	23424/23424	---M--	200	added ('OK')	application/octet-stream	etag:%225a8c26de-5b80%22	https://thunder-team.com/friend-finder/fonts/glyphicons-halflings-regular.woff	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/fonts/glyphicons-halflings-regular.woff	(from https://thunder-team.com/friend-finder/css/bootstrap.min.css)
08:19:44	45404/45404	---M--	200	added ('OK')	application/octet-stream	etag:%225a8c26de-b15c%22	https://thunder-team.com/friend-finder/fonts/glyphicons-halflings-regular.ttf	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/fonts/glyphicons-halflings-regular.ttf	(from https://thunder-team.com/friend-finder/css/bootstrap.min.css)
08:19:45	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%225a8c26dd-1a8c2%22	https://thunder-team.com/friend-finder/fonts/glyphicons-halflings-regular.svg	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/fonts/glyphicons-halflings-regular.svg	(from https://thunder-team.com/friend-finder/css/bootstrap.min.css)
08:19:45	29107/29107	---M--	200	added ('OK')	application/octet-stream	etag:%225a8c26d3-71b3%22	https://thunder-team.com/friend-finder/fonts/agency-fb.eot	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/fonts/agency-fb.eot	(from https://thunder-team.com/friend-finder/css/style.css)
08:19:46	266/266	---M--	200	added ('OK')	image/png	etag:%225a8c26ec-10a%22	https://thunder-team.com/friend-finder/images/bullet.png	D:/0%20M.Sc.(IT)/8-Sem/Practical/JAVA/Project/Template%20Pages/Login%20&%20Registration/SocialMedia_Login&Registration/thunder-team.com/friend-finder/images/bullet.png	(from https://thunder-team.com/friend-finder/css/style.css)
